

Software Version;3.09.07



Experiment File Path:;C:\Users\murraylab\Box\biocircuits\Manisha\BioTek Runs\20220224_SaltCalibration_AR_ZJ_Extract_w_PEG_and_Minimal_Energy_Solution.xpt
Protocol File Path:;C:\Users\murraylab\Box\biocircuits\Manisha\BioTek Runs\20211223_TXTL_WP_Titration_of_NTPs_ATP_Mg_3PGA_Pi.prt



Plate Number;Plate 1
Date;2/24/2022
Time;2:56:52 PM
Reader Type:;Synergy H1
Reader Serial Number:;271275
Reading Type;Reader

Procedure Details

Plate Type;384 WELL PLATE
Well Selection;Runtime
Eject plate on completion;
Set Temperature;Setpoint 29°C
;Preheat before moving to next step
Start Kinetic;Runtime 16:00:00 (HH:MM:SS), Interval 0:05:00, 193 Reads
    Shake;Linear: 0:05 (MM:SS)
;Frequency: 360 cpm (6 mm)
    Read;deGFP
;Fluorescence Endpoint
;Full Plate
;Filter Set 1
;    Excitation: 485,  Emission: 515
;    Optics: Bottom,  Gain: 61
;Filter Set 2
;    Excitation: 485,  Emission: 515
;    Optics: Bottom,  Gain: 100
;Light Source: Xenon Flash,  Lamp Energy: High
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
;Read Height: 7 mm
End Kinetic;

Layout
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
A;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
B;;;;;;;;;;;;;;SPL1;SPL7;SPL13;SPL19;SPL25;SPL31;;;;;;Well ID
C;;;;;;;;;;;;;;SPL2;SPL8;SPL14;SPL20;SPL26;SPL32;;;;;;Well ID
D;;;;;;;;;;;;;;SPL3;SPL9;SPL15;SPL21;SPL27;SPL33;;;;;;Well ID
E;;;;;;;;;;;;;;SPL4;SPL10;SPL16;SPL22;SPL28;SPL34;;;;;;Well ID
F;;;;;;;;;;;;;;SPL5;SPL11;SPL17;SPL23;SPL29;SPL35;;;;;;Well ID
G;;;;;;;;;;;;;;SPL6;SPL12;SPL18;SPL24;SPL30;SPL36;;;;;;Well ID
H;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
I;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
J;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
K;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
L;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
M;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
N;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
O;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
P;;;;;;;;;;;;;;;;;;;;;;;;;Well ID

deGFP:485,515

Time;T° deGFP:485,515;B14;B15;B16;B17;B18;B19;C14;C15;C16;C17;C18;C19;D14;D15;D16;D17;D18;D19;E14;E15;E16;E17;E18;E19;F14;F15;F16;F17;F18;F19;G14;G15;G16;G17;G18;G19
0:00:06;29.0;17;31;25;33;16;23;40;33;30;23;18;23;23;21;34;14;22;30;20;38;37;30;25;28;29;21;30;17;29;38;21;30;20;39;23;33
0:05:06;29.0;37;27;24;33;31;38;27;25;34;21;28;33;24;22;31;25;25;22;27;29;28;25;22;19;25;32;35;23;34;21;24;23;28;29;16;30
0:10:06;29.0;20;19;16;16;25;23;27;14;20;32;18;25;15;16;18;18;19;13;25;20;28;23;35;19;43;21;16;38;23;23;16;28;18;17;14;21
0:15:06;29.0;17;16;20;18;30;10;25;18;19;24;22;15;2;23;30;22;28;17;16;25;20;19;16;15;13;25;25;28;35;17;17;23;20;18;10;16
0:20:06;29.0;4;18;29;14;20;23;7;25;16;12;17;20;7;39;37;33;33;24;13;29;32;33;26;24;23;26;35;27;14;26;5;27;22;24;20;17
0:25:06;29.0;5;2;10;12;23;18;17;21;23;31;28;27;13;34;59;59;53;41;9;35;31;49;51;30;14;18;49;44;17;23;18;27;9;21;19;11
0:30:06;29.0;3;18;21;17;22;19;18;17;22;21;29;34;25;45;83;40;43;55;41;45;48;52;59;52;35;41;46;58;47;37;24;40;43;42;42;31
0:35:06;29.0;1;6;6;11;24;33;21;28;37;39;37;57;28;57;95;71;70;71;41;54;58;59;66;74;38;52;41;50;55;55;31;56;61;46;56;42
0:40:06;29.0;20;12;13;8;30;37;17;28;33;45;41;64;29;76;118;99;70;90;53;77;59;76;79;87;47;60;66;76;76;73;41;62;69;61;59;56
0:45:06;29.0;6;14;12;27;27;28;27;35;50;62;45;75;41;89;122;79;77;106;49;71;89;105;102;104;58;67;71;75;92;92;48;68;86;58;69;73
0:50:06;29.0;14;14;12;9;24;43;31;38;52;70;54;95;56;92;137;99;92;114;72;109;100;107;95;125;70;81;89;78;105;110;58;80;93;71;80;86
0:55:06;29.0;14;19;9;22;22;38;44;56;65;75;71;100;56;122;158;123;96;126;94;117;116;123;109;134;80;94;105;108;118;125;50;92;95;81;87;88
1:00:06;29.0;33;18;28;43;36;61;40;67;82;84;78;113;73;131;161;138;122;153;102;126;152;147;126;153;100;108;104;130;124;148;70;111;108;98;105;97
1:05:06;29.0;16;29;37;37;53;54;39;67;84;94;82;121;82;157;190;164;129;154;118;161;154;169;145;160;100;138;132;139;133;173;85;113;128;118;124;121
1:10:06;29.0;22;27;19;27;45;72;47;71;100;112;95;144;94;155;203;185;138;165;125;166;172;191;160;180;109;158;150;162;145;194;89;130;142;126;125;128
1:15:06;29.0;18;38;21;46;72;79;55;103;97;121;117;158;112;171;222;211;158;202;139;173;185;209;179;192;123;166;163;193;157;200;96;144;149;138;133;153
1:20:06;29.0;22;31;20;46;70;88;59;106;109;147;132;164;120;188;224;215;174;198;140;199;217;233;172;207;138;168;193;215;178;235;103;151;174;157;143;149
1:25:06;29.0;24;22;30;56;76;98;73;99;132;156;125;179;136;200;248;246;204;226;172;230;241;246;188;237;142;189;200;222;192;232;112;160;171;189;157;171
1:30:06;29.0;26;30;31;54;94;110;69;110;133;167;163;197;135;204;252;265;225;236;175;241;259;254;216;250;168;195;204;251;200;266;123;175;197;179;169;169
1:35:06;29.0;20;34;34;55;91;121;76;131;133;190;173;219;133;237;266;285;238;264;200;243;275;274;242;265;180;226;235;272;225;256;136;198;206;210;187;198
1:40:06;29.0;21;38;20;56;114;125;92;128;158;206;172;246;157;227;280;299;256;278;219;264;298;319;260;289;194;241;254;295;238;284;149;217;229;233;211;195
1:45:06;29.0;20;35;28;74;114;144;99;139;165;216;201;268;170;261;284;321;290;312;202;272;312;311;275;318;185;257;266;306;267;287;147;218;239;251;219;198
1:50:06;29.0;15;40;41;72;123;150;106;150;182;219;202;290;183;261;311;347;309;329;241;301;328;331;300;329;202;268;271;315;290;316;155;227;242;256;235;231
1:55:06;29.0;29;46;34;82;149;169;111;166;196;231;222;294;200;289;315;358;318;355;230;317;364;359;321;370;219;285;297;353;308;319;171;239;256;285;249;241
2:00:06;29.0;28;39;41;94;165;174;121;174;203;252;236;312;199;290;338;384;330;370;243;328;365;389;372;383;236;316;336;364;321;346;194;254;267;294;262;257
2:05:06;29.0;35;50;38;87;167;182;115;181;213;265;245;328;217;303;333;403;358;384;266;347;391;384;374;409;232;312;327;382;342;382;188;264;288;302;277;275
2:10:06;29.0;29;48;42;94;176;198;113;190;240;273;257;348;218;320;357;412;385;402;287;373;417;413;396;433;246;337;348;400;365;364;191;284;311;324;295;276
2:15:06;29.1;23;55;47;104;181;209;137;199;224;287;272;355;231;330;358;436;387;419;303;366;418;416;414;454;266;359;363;437;377;399;206;295;306;337;316;289
2:20:06;29.1;15;62;45;115;199;217;132;206;244;300;288;371;236;332;376;459;418;444;310;395;435;442;423;479;272;359;387;450;396;417;209;301;330;352;312;320
2:25:06;29.1;35;65;55;113;206;221;143;234;255;308;308;386;257;356;390;459;435;447;312;408;448;456;446;493;285;390;404;474;411;433;225;311;346;356;337;319
2:30:06;29.1;34;71;50;120;216;229;160;239;262;334;321;395;288;359;407;496;446;474;326;428;476;477;484;504;303;401;415;500;422;460;213;323;368;384;351;332
2:35:06;29.1;35;74;64;122;215;244;150;232;268;339;327;433;287;380;397;513;458;488;340;440;480;481;487;536;305;418;442;518;443;463;244;335;368;401;365;344
2:40:06;29.1;46;76;56;134;250;255;162;240;282;337;349;428;285;379;418;518;497;503;339;450;495;509;501;533;314;422;449;505;443;467;244;343;358;406;388;359
2:45:06;29.1;39;55;62;139;259;270;164;264;298;355;352;438;288;405;451;524;503;520;361;466;526;530;534;554;326;436;453;533;470;502;268;347;386;420;397;370
2:50:06;29.1;52;93;63;153;251;285;175;263;303;356;367;475;301;412;445;557;531;538;370;496;546;551;546;572;339;430;465;560;477;511;271;368;405;430;402;387
2:55:06;29.1;53;87;71;152;266;297;188;271;314;383;365;475;323;427;451;577;520;551;375;492;550;563;551;588;348;477;493;570;495;524;273;368;423;434;413;396
3:00:06;29.1;46;89;77;159;281;302;175;282;315;405;391;484;329;449;466;585;542;571;390;516;558;575;576;599;372;468;504;581;495;544;288;404;444;451;436;421
3:05:06;29.0;53;100;80;168;284;311;198;293;319;398;412;509;324;448;470;596;551;566;403;508;587;587;580;630;365;493;501;600;520;540;294;390;452;466;431;419
3:10:06;29.1;51;100;81;181;295;315;198;294;353;415;424;537;348;455;492;607;575;584;419;541;590;607;606;637;382;503;536;606;542;567;295;392;458;478;449;431
3:15:06;29.1;62;100;88;200;296;322;203;299;335;416;436;532;337;459;485;624;594;600;422;562;619;624;595;645;400;521;560;639;555;568;305;423;471;490;458;448
3:20:06;29.0;62;113;91;207;311;330;205;312;378;420;432;536;358;495;505;629;593;629;424;558;628;637;633;657;387;521;554;644;561;580;326;420;502;505;470;455
3:25:06;29.0;70;109;84;202;328;335;224;323;353;445;446;545;389;488;518;662;609;634;450;589;643;660;632;670;418;538;578;661;569;590;322;440;509;507;485;459
3:30:06;29.1;68;123;93;216;325;350;227;330;376;447;471;562;399;495;545;669;618;647;462;603;678;683;664;695;436;578;591;665;575;624;330;447;527;529;492;473
3:35:06;29.0;62;115;101;222;331;356;233;335;390;470;456;563;390;517;536;673;640;659;461;601;656;680;666;698;435;571;598;693;578;620;330;461;525;539;506;482
3:40:06;29.1;78;123;111;231;347;363;224;346;385;467;481;578;395;516;561;682;665;672;476;613;701;712;695;698;456;578;623;716;596;622;340;468;525;540;492;487
3:45:06;29.0;74;132;99;222;350;363;237;366;397;476;488;584;408;524;563;728;665;683;497;634;698;704;694;726;450;590;613;721;618;643;367;474;551;548;523;503
3:50:06;29.1;80;139;103;244;342;379;234;365;416;478;490;598;398;539;577;719;674;701;509;631;709;737;713;731;459;588;630;724;621;678;367;483;547;552;532;506
3:55:06;29.0;81;143;107;244;372;383;246;381;412;507;509;597;424;558;574;718;702;701;508;670;725;736;723;736;482;610;632;751;625;683;374;493;547;568;540;526
4:00:06;29.0;82;155;106;247;371;399;266;404;425;506;520;625;431;570;579;755;687;724;531;678;752;733;727;749;480;652;650;753;646;673;393;499;564;579;537;526
4:05:06;29.0;94;150;113;263;391;415;271;398;420;515;546;638;430;573;596;751;703;741;532;697;744;759;740;766;503;642;672;788;646;701;417;508;580;588;567;512
4:10:06;29.0;86;154;144;263;379;415;279;397;444;538;549;654;441;571;616;768;721;728;525;705;774;786;752;776;509;661;676;787;669;696;437;522;615;613;564;523
4:15:06;29.0;91;177;126;266;393;425;282;400;443;557;554;661;455;590;625;799;747;728;547;723;796;798;763;785;497;671;692;795;681;711;440;547;594;616;554;539
4:20:06;29.0;96;161;134;273;406;427;286;404;457;544;556;653;469;600;634;796;744;760;566;740;803;804;777;772;538;679;688;821;692;717;456;549;599;623;574;553
4:25:06;29.0;97;175;125;286;411;440;271;419;462;533;559;654;470;602;634;815;760;758;570;736;789;812;778;791;530;691;707;846;718;739;476;572;622;616;574;544
4:30:06;29.1;97;176;136;295;409;437;295;428;457;566;571;677;495;635;649;831;766;775;579;740;826;839;804;827;542;694;716;817;718;749;472;567;634;644;586;554
4:35:06;29.1;112;181;148;296;424;453;301;430;477;593;591;684;499;624;671;832;784;796;596;765;811;840;813;802;567;715;727;830;708;753;472;582;644;640;590;574
4:40:06;29.0;98;194;143;299;430;451;306;438;484;595;603;700;503;632;690;844;809;778;631;771;847;851;839;829;580;724;737;843;712;752;476;611;662;650;617;552
