Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
B2,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,5,1,AR_ZJ,0.33,4.8,0,0,0
B3,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,5,2,AR_ZJ,0.33,4.8,0,0,0
B4,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,5,3,AR_ZJ,0.33,4.8,0,0,0
B5,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,5,1,AR_ZJ,0.33,4.8,0,0,0
B6,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,5,2,AR_ZJ,0.33,4.8,0,0,0
B7,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,5,3,AR_ZJ,0.33,4.8,0,0,0
B8,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,5,1,AR_ZJ,0.33,4.8,0,0,0
B9,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,5,2,AR_ZJ,0.33,4.8,0,0,0
B10,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,5,3,AR_ZJ,0.33,4.8,0,0,0
B11,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,5,1,AR_ZJ,0.33,4.8,0,0,0
B12,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,5,2,AR_ZJ,0.33,4.8,0,0,0
B13,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,5,3,AR_ZJ,0.33,4.8,0,0,0
B14,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,5,1,AR_ZJ,0.33,4.8,0,0,0
B15,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,5,2,AR_ZJ,0.33,4.8,0,0,0
B16,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,5,3,AR_ZJ,0.33,4.8,0,0,0
B17,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,5,1,AR_ZJ,0.33,4.8,0,0,0
B18,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,5,2,AR_ZJ,0.33,4.8,0,0,0
B19,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,5,3,AR_ZJ,0.33,4.8,0,0,0
B20,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,10,1,AR_ZJ,0.33,4.8,0,0,0
B21,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,10,2,AR_ZJ,0.33,4.8,0,0,0
B22,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,10,3,AR_ZJ,0.33,4.8,0,0,0
B23,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,10,1,AR_ZJ,0.33,4.8,0,0,0
C2,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,10,2,AR_ZJ,0.33,4.8,0,0,0
C3,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,10,3,AR_ZJ,0.33,4.8,0,0,0
C4,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,10,1,AR_ZJ,0.33,4.8,0,0,0
C5,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,10,2,AR_ZJ,0.33,4.8,0,0,0
C6,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,10,3,AR_ZJ,0.33,4.8,0,0,0
C7,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,10,1,AR_ZJ,0.33,4.8,0,0,0
C8,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,10,2,AR_ZJ,0.33,4.8,0,0,0
C9,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,10,3,AR_ZJ,0.33,4.8,0,0,0
C10,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,10,1,AR_ZJ,0.33,4.8,0,0,0
C11,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,10,2,AR_ZJ,0.33,4.8,0,0,0
C12,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,10,3,AR_ZJ,0.33,4.8,0,0,0
C13,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,10,1,AR_ZJ,0.33,4.8,0,0,0
C14,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,10,2,AR_ZJ,0.33,4.8,0,0,0
C15,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,10,3,AR_ZJ,0.33,4.8,0,0,0
C16,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,15,1,AR_ZJ,0.33,4.8,0,0,0
C17,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,15,2,AR_ZJ,0.33,4.8,0,0,0
C18,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,15,3,AR_ZJ,0.33,4.8,0,0,0
C19,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,15,1,AR_ZJ,0.33,4.8,0,0,0
C20,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,15,2,AR_ZJ,0.33,4.8,0,0,0
C21,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,15,3,AR_ZJ,0.33,4.8,0,0,0
C22,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,15,1,AR_ZJ,0.33,4.8,0,0,0
C23,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,15,2,AR_ZJ,0.33,4.8,0,0,0
D2,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,15,3,AR_ZJ,0.33,4.8,0,0,0
D3,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,15,1,AR_ZJ,0.33,4.8,0,0,0
D4,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,15,2,AR_ZJ,0.33,4.8,0,0,0
D5,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,15,3,AR_ZJ,0.33,4.8,0,0,0
D6,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,15,1,AR_ZJ,0.33,4.8,0,0,0
D7,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,15,2,AR_ZJ,0.33,4.8,0,0,0
D8,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,15,3,AR_ZJ,0.33,4.8,0,0,0
D9,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,15,1,AR_ZJ,0.33,4.8,0,0,0
D10,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,15,2,AR_ZJ,0.33,4.8,0,0,0
D11,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,15,3,AR_ZJ,0.33,4.8,0,0,0
D12,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,20,1,AR_ZJ,0.33,4.8,0,0,0
D13,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,20,2,AR_ZJ,0.33,4.8,0,0,0
D14,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,20,3,AR_ZJ,0.33,4.8,0,0,0
D15,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,20,1,AR_ZJ,0.33,4.8,0,0,0
D16,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,20,2,AR_ZJ,0.33,4.8,0,0,0
D17,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,20,3,AR_ZJ,0.33,4.8,0,0,0
D18,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,20,1,AR_ZJ,0.33,4.8,0,0,0
D19,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,20,2,AR_ZJ,0.33,4.8,0,0,0
D20,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,20,3,AR_ZJ,0.33,4.8,0,0,0
D21,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,20,1,AR_ZJ,0.33,4.8,0,0,0
D22,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,20,2,AR_ZJ,0.33,4.8,0,0,0
D23,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,20,3,AR_ZJ,0.33,4.8,0,0,0
E2,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,20,1,AR_ZJ,0.33,4.8,0,0,0
E3,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,20,2,AR_ZJ,0.33,4.8,0,0,0
E4,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,20,3,AR_ZJ,0.33,4.8,0,0,0
E5,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,20,1,AR_ZJ,0.33,4.8,0,0,0
E6,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,20,2,AR_ZJ,0.33,4.8,0,0,0
E7,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,20,3,AR_ZJ,0.33,4.8,0,0,0
E8,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,30,1,AR_ZJ,0.33,4.8,0,0,0
E9,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,30,2,AR_ZJ,0.33,4.8,0,0,0
E10,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,30,3,AR_ZJ,0.33,4.8,0,0,0
E11,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,30,1,AR_ZJ,0.33,4.8,0,0,0
E12,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,30,2,AR_ZJ,0.33,4.8,0,0,0
E13,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,30,3,AR_ZJ,0.33,4.8,0,0,0
E14,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,30,1,AR_ZJ,0.33,4.8,0,0,0
E15,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,30,2,AR_ZJ,0.33,4.8,0,0,0
E16,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,30,3,AR_ZJ,0.33,4.8,0,0,0
E17,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,30,1,AR_ZJ,0.33,4.8,0,0,0
E18,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,30,2,AR_ZJ,0.33,4.8,0,0,0
E19,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,30,3,AR_ZJ,0.33,4.8,0,0,0
E20,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,30,1,AR_ZJ,0.33,4.8,0,0,0
E21,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,30,2,AR_ZJ,0.33,4.8,0,0,0
E22,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,30,3,AR_ZJ,0.33,4.8,0,0,0
