Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
B2,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,5,1,AR_ZJ,0.33,4.8,0,0,0
B3,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,5,2,AR_ZJ,0.33,4.8,0,0,0
B4,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,5,3,AR_ZJ,0.33,4.8,0,0,0
B5,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,5,1,AR_ZJ,0.33,4.8,0,0,0
B6,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,5,2,AR_ZJ,0.33,4.8,0,0,0
B7,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,5,3,AR_ZJ,0.33,4.8,0,0,0
B8,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,5,1,AR_ZJ,0.33,4.8,0,0,0
B9,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,5,2,AR_ZJ,0.33,4.8,0,0,0
B10,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,5,3,AR_ZJ,0.33,4.8,0,0,0
B11,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,5,1,AR_ZJ,0.33,4.8,0,0,0
B12,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,5,2,AR_ZJ,0.33,4.8,0,0,0
B13,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,5,3,AR_ZJ,0.33,4.8,0,0,0
B14,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,5,1,AR_ZJ,0.33,4.8,0,0,0
B15,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,5,2,AR_ZJ,0.33,4.8,0,0,0
B16,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,5,3,AR_ZJ,0.33,4.8,0,0,0
B17,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,5,1,AR_ZJ,0.33,4.8,0,0,0
B18,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,5,2,AR_ZJ,0.33,4.8,0,0,0
B19,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,5,3,AR_ZJ,0.33,4.8,0,0,0
B20,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,10,1,AR_ZJ,0.33,4.8,0,0,0
B21,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,10,2,AR_ZJ,0.33,4.8,0,0,0
B22,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,10,3,AR_ZJ,0.33,4.8,0,0,0
B23,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,10,1,AR_ZJ,0.33,4.8,0,0,0
C2,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,10,2,AR_ZJ,0.33,4.8,0,0,0
C3,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,10,3,AR_ZJ,0.33,4.8,0,0,0
C4,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,10,1,AR_ZJ,0.33,4.8,0,0,0
C5,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,10,2,AR_ZJ,0.33,4.8,0,0,0
C6,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,10,3,AR_ZJ,0.33,4.8,0,0,0
C7,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,10,1,AR_ZJ,0.33,4.8,0,0,0
C8,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,10,2,AR_ZJ,0.33,4.8,0,0,0
C9,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,10,3,AR_ZJ,0.33,4.8,0,0,0
C10,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,10,1,AR_ZJ,0.33,4.8,0,0,0
C11,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,10,2,AR_ZJ,0.33,4.8,0,0,0
C12,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,10,3,AR_ZJ,0.33,4.8,0,0,0
C13,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,10,1,AR_ZJ,0.33,4.8,0,0,0
C14,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,10,2,AR_ZJ,0.33,4.8,0,0,0
C15,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,10,3,AR_ZJ,0.33,4.8,0,0,0
C16,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,15,1,AR_ZJ,0.33,4.8,0,0,0
C17,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,15,2,AR_ZJ,0.33,4.8,0,0,0
C18,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,15,3,AR_ZJ,0.33,4.8,0,0,0
C19,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,15,1,AR_ZJ,0.33,4.8,0,0,0
C20,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,15,2,AR_ZJ,0.33,4.8,0,0,0
C21,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,15,3,AR_ZJ,0.33,4.8,0,0,0
C22,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,15,1,AR_ZJ,0.33,4.8,0,0,0
C23,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,15,2,AR_ZJ,0.33,4.8,0,0,0
D2,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,15,3,AR_ZJ,0.33,4.8,0,0,0
D3,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,15,1,AR_ZJ,0.33,4.8,0,0,0
D4,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,15,2,AR_ZJ,0.33,4.8,0,0,0
D5,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,15,3,AR_ZJ,0.33,4.8,0,0,0
D6,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,15,1,AR_ZJ,0.33,4.8,0,0,0
D7,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,15,2,AR_ZJ,0.33,4.8,0,0,0
D8,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,15,3,AR_ZJ,0.33,4.8,0,0,0
D9,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,15,1,AR_ZJ,0.33,4.8,0,0,0
D10,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,15,2,AR_ZJ,0.33,4.8,0,0,0
D11,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,15,3,AR_ZJ,0.33,4.8,0,0,0
D12,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,20,1,AR_ZJ,0.33,4.8,0,0,0
D13,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,20,2,AR_ZJ,0.33,4.8,0,0,0
D14,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,20,3,AR_ZJ,0.33,4.8,0,0,0
D15,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,20,1,AR_ZJ,0.33,4.8,0,0,0
D16,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,20,2,AR_ZJ,0.33,4.8,0,0,0
D17,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,20,3,AR_ZJ,0.33,4.8,0,0,0
D18,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,20,1,AR_ZJ,0.33,4.8,0,0,0
D19,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,20,2,AR_ZJ,0.33,4.8,0,0,0
D20,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,20,3,AR_ZJ,0.33,4.8,0,0,0
D21,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,20,1,AR_ZJ,0.33,4.8,0,0,0
D22,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,20,2,AR_ZJ,0.33,4.8,0,0,0
D23,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,20,3,AR_ZJ,0.33,4.8,0,0,0
E2,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,20,1,AR_ZJ,0.33,4.8,0,0,0
E3,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,20,2,AR_ZJ,0.33,4.8,0,0,0
E4,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,20,3,AR_ZJ,0.33,4.8,0,0,0
E5,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,20,1,AR_ZJ,0.33,4.8,0,0,0
E6,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,20,2,AR_ZJ,0.33,4.8,0,0,0
E7,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,20,3,AR_ZJ,0.33,4.8,0,0,0
E8,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,30,1,AR_ZJ,0.33,4.8,0,0,0
E9,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,30,2,AR_ZJ,0.33,4.8,0,0,0
E10,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,30,3,AR_ZJ,0.33,4.8,0,0,0
E11,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,30,1,AR_ZJ,0.33,4.8,0,0,0
E12,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,30,2,AR_ZJ,0.33,4.8,0,0,0
