Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
G2,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,0,5,1,AR_ZJ,0.33,4.8,0,0,0
G3,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,0,5,2,AR_ZJ,0.33,4.8,0,0,0
G4,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,0,5,3,AR_ZJ,0.33,4.8,0,0,0
G5,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,2,5,1,AR_ZJ,0.33,4.8,0,0,0
G6,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,2,5,2,AR_ZJ,0.33,4.8,0,0,0
G7,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,2,5,3,AR_ZJ,0.33,4.8,0,0,0
G8,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,4,5,1,AR_ZJ,0.33,4.8,0,0,0
G9,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,4,5,2,AR_ZJ,0.33,4.8,0,0,0
G10,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,4,5,3,AR_ZJ,0.33,4.8,0,0,0
G11,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,6,5,1,AR_ZJ,0.33,4.8,0,0,0
G12,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,6,5,2,AR_ZJ,0.33,4.8,0,0,0
G13,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,6,5,3,AR_ZJ,0.33,4.8,0,0,0
G14,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,8,5,1,AR_ZJ,0.33,4.8,0,0,0
G15,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,8,5,2,AR_ZJ,0.33,4.8,0,0,0
G16,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,8,5,3,AR_ZJ,0.33,4.8,0,0,0
G17,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,10,5,1,AR_ZJ,0.33,4.8,0,0,0
G18,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,10,5,2,AR_ZJ,0.33,4.8,0,0,0
G19,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,10,5,3,AR_ZJ,0.33,4.8,0,0,0
G20,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,0,10,1,AR_ZJ,0.33,4.8,0,0,0
G21,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,0,10,2,AR_ZJ,0.33,4.8,0,0,0
G22,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,0,10,3,AR_ZJ,0.33,4.8,0,0,0
G23,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,2,10,1,AR_ZJ,0.33,4.8,0,0,0
H2,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,2,10,2,AR_ZJ,0.33,4.8,0,0,0
H3,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,2,10,3,AR_ZJ,0.33,4.8,0,0,0
H4,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,4,10,1,AR_ZJ,0.33,4.8,0,0,0
H5,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,4,10,2,AR_ZJ,0.33,4.8,0,0,0
H6,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,4,10,3,AR_ZJ,0.33,4.8,0,0,0
H7,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,6,10,1,AR_ZJ,0.33,4.8,0,0,0
H8,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,6,10,2,AR_ZJ,0.33,4.8,0,0,0
H9,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,6,10,3,AR_ZJ,0.33,4.8,0,0,0
H10,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,8,10,1,AR_ZJ,0.33,4.8,0,0,0
H11,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,8,10,2,AR_ZJ,0.33,4.8,0,0,0
H12,Maltose,pOR1OR2-MGapt-deGFP,3,5,0,8,10,3,AR_ZJ,0.33,4.8,0,0,0
