Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
B2,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,0,0,0
B3,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,0,0,0
B4,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,0,0,0
B5,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,0,5,0
B6,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,0,5,0
B7,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,0,5,0
B8,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,0,10,0
B9,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,0,10,0
B10,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,0,10,0
B11,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,0,15,0
B12,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,0,15,0
B13,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,0,15,0
B14,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,5,0,0
B15,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,5,0,0
B16,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,5,0,0
B17,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,5,5,0
B18,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,5,5,0
B19,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,5,5,0
B20,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,5,10,0
B21,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,5,10,0
B22,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,5,10,0
B23,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,5,15,0
C2,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,5,15,0
C3,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,5,15,0
C4,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,10,0,0
C5,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,10,0,0
C6,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,10,0,0
C7,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,10,5,0
C8,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,10,5,0
C9,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,10,5,0
C10,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,10,10,0
C11,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,10,10,0
C12,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,10,10,0
C13,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,10,15,0
C14,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,2,DAJ_MK_MY,0.33,0,10,15,0
C15,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,3,DAJ_MK_MY,0.33,0,10,15,0
C16,NTPs,pOR1OR2-MGapt-deGFP,4,5,0,0,0,1,DAJ_MK_MY,0.33,0,15,0,0
