

Software Version;3.04.17



Experiment File Path:;C:\Users\Biotek1\Box\biocircuits\Manisha\BioTek Runs\20230228_TX_only_w_Tetracycline\20230228_TX_only_w_Tetracycline.xpt
Protocol File Path:;C:\Users\Biotek1\Box\biocircuits\Manisha\BioTek Runs\Protocols\20220513_TXTL_WP_ZJ_Titration_of_3PGA_MGapt_deGFP_prt.prt



Plate Number;Plate 1
Date;2/28/2023
Time;5:50:56 PM
Reader Type:;Synergy H1
Reader Serial Number:;268449
Reading Type;Reader

Procedure Details

Plate Type;384 WELL PLATE
Well Selection;Runtime
Eject plate on completion;
Set Temperature;Setpoint 29°C
;Preheat before moving to next step
Start Kinetic;Runtime 18:00:00 (HH:MM:SS), Interval 0:03:00, 361 Reads
    Shake;Linear: 0:05 (MM:SS)
;Frequency: 360 cpm (6 mm)
    Read;MGaptamer
;Fluorescence Endpoint
;Full Plate
;Filter Set 1
;    Excitation: 610,  Emission: 650
;    Optics: Bottom,  Gain: 150
;Light Source: Xenon Flash,  Lamp Energy: High
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
;Read Height: 9.5 mm
    Read;deGFP
;Fluorescence Endpoint
;Full Plate
;Filter Set 1
;    Excitation: 485,  Emission: 515
;    Optics: Bottom,  Gain: 61
;Light Source: Xenon Flash,  Lamp Energy: High
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
;Read Height: 7 mm
End Kinetic;

Layout
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
A;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
B;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
C;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
D;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
E;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
F;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
G;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
H;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
I;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
J;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
K;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
L;;SPL1;SPL2;SPL3;SPL4;SPL5;SPL6;SPL7;SPL8;SPL9;SPL10;SPL11;SPL12;SPL13;SPL14;SPL15;SPL16;SPL17;SPL18;;;;;;Well ID
M;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
N;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
O;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
P;;;;;;;;;;;;;;;;;;;;;;;;;Well ID

MGaptamer:610,650

Time;T° MGaptamer:610,650;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19
0:00:06;29.0;49;65;96;58;54;105;83;86;79;87;89;78;102;99;123;138;84;76
0:03:06;29.0;39;163;114;141;44;47;119;56;127;101;131;94;67;47;70;146;112;58
0:06:06;29.1;98;169;179;151;79;104;99;129;94;90;56;122;115;96;138;132;104;101
0:09:06;29.1;176;161;180;128;192;206;148;145;157;179;168;152;140;125;159;99;114;84
0:12:06;29.0;230;205;195;133;176;234;327;308;166;253;175;208;180;114;232;144;146;162
0:15:06;29.0;312;239;199;202;334;280;276;275;187;364;276;327;266;278;241;153;243;272
0:18:06;29.0;347;397;333;210;469;384;429;448;301;391;279;344;293;400;400;308;217;303
0:21:06;29.0;494;429;335;370;429;483;375;581;392;533;424;531;415;505;459;331;330;388
0:24:06;29.0;455;505;428;372;590;560;688;632;508;486;518;573;559;513;537;467;514;444
0:27:06;29.0;484;605;549;543;699;705;744;582;549;709;578;769;569;758;710;417;525;620
0:30:06;29.0;556;783;609;505;637;625;707;869;666;880;820;924;774;876;782;545;513;749
0:33:06;29.0;558;616;693;615;711;826;881;1026;723;1030;960;1018;917;928;844;591;653;664
0:36:06;29.0;745;755;660;378;727;840;1018;818;864;1160;940;1040;965;974;949;694;684;990
0:39:06;29.0;621;714;562;677;786;1025;1094;907;764;1005;902;1096;1160;1139;1022;821;762;763
0:42:06;29.0;813;730;621;706;607;692;955;1024;851;1427;1095;1330;1033;1084;1109;781;1037;830
0:45:06;29.0;683;681;663;746;789;682;1244;910;960;1409;1107;1194;1227;1330;1054;877;945;1026
0:48:06;29.0;584;697;769;726;794;878;859;897;1031;1111;1122;1208;1194;1368;1429;997;1100;1024
0:51:06;29.0;719;716;607;652;796;918;1133;1055;990;1132;1202;1236;1339;1399;1336;1119;1102;1118
0:54:06;29.0;774;672;725;697;711;816;1101;945;861;1410;1513;1362;1495;1395;1617;1298;1166;1265
0:57:06;29.0;708;806;637;692;704;825;1204;1029;1120;1328;1339;1376;1646;1498;1321;1202;1260;1503
1:00:06;29.0;791;747;478;648;773;721;1099;1008;956;1307;1458;1380;1649;1487;1471;1274;1429;1318
1:03:06;29.0;717;786;536;887;780;637;914;1158;1172;1314;1588;1336;1689;1552;1575;1242;1146;1349
1:06:06;29.0;690;768;872;734;619;778;1056;979;1086;1262;1472;1453;1371;1524;1560;1514;1777;1516
1:09:06;29.0;849;581;756;749;718;760;1067;888;1082;1434;1359;1475;1549;1570;1625;1260;1368;1693
1:12:06;29.1;634;726;634;762;780;650;971;930;1212;1498;1262;1370;1624;1722;1514;1375;1448;1498
1:15:06;29.1;811;589;614;676;721;757;1047;982;1006;1324;1576;1331;1536;1392;1532;1398;1374;1565
1:18:06;29.1;594;554;582;625;692;772;1029;834;978;1426;1173;1268;1738;1452;1543;1394;1636;1571
