Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,Extract,Tetratcycline concentration (ug/mL),Replicate,ChanStr
MGaptamer,150,6,0.0016666666666666668,L2,0.01084070796460177,uM,610,650,DAJ_MK_MY,0,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L3,0.014380530973451327,uM,610,650,DAJ_MK_MY,0,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L4,0.021238938053097345,uM,610,650,DAJ_MK_MY,0,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L5,0.012831858407079646,uM,610,650,DAJ_MK_MY,0.2,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L6,0.011946902654867256,uM,610,650,DAJ_MK_MY,0.2,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L7,0.023230088495575223,uM,610,650,DAJ_MK_MY,0.2,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L8,0.01836283185840708,uM,610,650,DAJ_MK_MY,2,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L9,0.01902654867256637,uM,610,650,DAJ_MK_MY,2,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L10,0.01747787610619469,uM,610,650,DAJ_MK_MY,2,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L11,0.019247787610619467,uM,610,650,DAJ_MK_MY,20,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L12,0.019690265486725665,uM,610,650,DAJ_MK_MY,20,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L13,0.017256637168141593,uM,610,650,DAJ_MK_MY,20,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L14,0.02256637168141593,uM,610,650,DAJ_MK_MY,200,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,L15,0.02190265486725664,uM,610,650,DAJ_MK_MY,200,2,MGaptamer150610650
