Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,Extract,DMSO (%),Replicate,ChanStr
MGaptamer,150,6,0.0016666666666666668,M2,0.02411504424778761,uM,610,650,DAJ_MK_MY,0,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M3,0.011725663716814159,uM,610,650,DAJ_MK_MY,0,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M4,0.006415929203539823,uM,610,650,DAJ_MK_MY,0,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M5,0.027876106194690265,uM,610,650,DAJ_MK_MY,0.000125,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M6,0.019690265486725665,uM,610,650,DAJ_MK_MY,0.000125,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M7,0.019469026548672566,uM,610,650,DAJ_MK_MY,0.000125,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M8,0.025,uM,610,650,DAJ_MK_MY,0.00125,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M9,0.02588495575221239,uM,610,650,DAJ_MK_MY,0.00125,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M10,0.01991150442477876,uM,610,650,DAJ_MK_MY,0.00125,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M11,0.02079646017699115,uM,610,650,DAJ_MK_MY,0.0125,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M12,0.028761061946902654,uM,610,650,DAJ_MK_MY,0.0125,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M13,0.01902654867256637,uM,610,650,DAJ_MK_MY,0.0125,3,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M14,0.032079646017699116,uM,610,650,DAJ_MK_MY,0.125,1,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M15,0.015486725663716814,uM,610,650,DAJ_MK_MY,0.125,2,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,M16,0.008628318584070796,uM,610,650,DAJ_MK_MY,0.125,3,MGaptamer150610650
