Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,Extract,deGFP concentration (uM),Replicate,Fuel (mM),Mg (mM),Fuel,ChanStr
MGaptamer,150,6,0.0016666666666666668,B2,0.015486725663716814,uM,610,650,DAJ_MK_MY,10,1,0,0,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B3,0.02190265486725664,uM,610,650,DAJ_MK_MY,10,2,0,0,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B4,0.0411504424778761,uM,610,650,DAJ_MK_MY,10,3,0,0,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B5,0.017699115044247787,uM,610,650,DAJ_MK_MY,10,1,0,2,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B6,0.019690265486725665,uM,610,650,DAJ_MK_MY,10,2,0,2,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B7,0.033185840707964605,uM,610,650,DAJ_MK_MY,10,3,0,2,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B8,0.013053097345132745,uM,610,650,DAJ_MK_MY,10,1,0,4,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B9,0.022123893805309734,uM,610,650,DAJ_MK_MY,10,2,0,4,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B10,0.02079646017699115,uM,610,650,DAJ_MK_MY,10,3,0,4,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B11,0.006858407079646018,uM,610,650,DAJ_MK_MY,10,1,0,6,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B12,0.016371681415929203,uM,610,650,DAJ_MK_MY,10,2,0,6,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B13,0.034513274336283185,uM,610,650,DAJ_MK_MY,10,3,0,6,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B14,0.032964601769911506,uM,610,650,DAJ_MK_MY,10,1,0,8,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B15,0.034734513274336284,uM,610,650,DAJ_MK_MY,10,2,0,8,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B16,0.030973451327433628,uM,610,650,DAJ_MK_MY,10,3,0,8,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B17,0.018141592920353982,uM,610,650,DAJ_MK_MY,10,1,0,10,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B18,0.021017699115044246,uM,610,650,DAJ_MK_MY,10,2,0,10,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B19,0.03407079646017699,uM,610,650,DAJ_MK_MY,10,3,0,10,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B20,0.018805309734513272,uM,610,650,DAJ_MK_MY,10,1,5,0,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B21,0.019469026548672566,uM,610,650,DAJ_MK_MY,10,2,5,0,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B22,0.033628318584070796,uM,610,650,DAJ_MK_MY,10,3,5,0,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,B23,0.03053097345132743,uM,610,650,DAJ_MK_MY,10,1,5,2,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,C2,0.025,uM,610,650,DAJ_MK_MY,10,2,5,2,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,C3,0.026991150442477872,uM,610,650,DAJ_MK_MY,10,3,5,2,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,C4,0.014601769911504425,uM,610,650,DAJ_MK_MY,10,1,5,4,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,C5,0.030088495575221242,uM,610,650,DAJ_MK_MY,10,2,5,4,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,C6,0.03738938053097345,uM,610,650,DAJ_MK_MY,10,3,5,4,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,C7,0.019247787610619467,uM,610,650,DAJ_MK_MY,10,1,5,6,3PGA,MGaptamer150610650
MGaptamer,150,6,0.0016666666666666668,C8,0.017699115044247787,uM,610,650,DAJ_MK_MY,10,2,5,6,3PGA,MGaptamer150610650
