Well,Extract,deGFP concentration (uM),Replicate,Fuel (mM),Mg (mM),Fuel
B2,DAJ_MK_MY,10,1,0,0,3PGA
B3,DAJ_MK_MY,10,2,0,0,3PGA
B4,DAJ_MK_MY,10,3,0,0,3PGA
B5,DAJ_MK_MY,10,1,0,2,3PGA
B6,DAJ_MK_MY,10,2,0,2,3PGA
B7,DAJ_MK_MY,10,3,0,2,3PGA
B8,DAJ_MK_MY,10,1,0,4,3PGA
B9,DAJ_MK_MY,10,2,0,4,3PGA
B10,DAJ_MK_MY,10,3,0,4,3PGA
B11,DAJ_MK_MY,10,1,0,6,3PGA
B12,DAJ_MK_MY,10,2,0,6,3PGA
B13,DAJ_MK_MY,10,3,0,6,3PGA
B14,DAJ_MK_MY,10,1,0,8,3PGA
B15,DAJ_MK_MY,10,2,0,8,3PGA
B16,DAJ_MK_MY,10,3,0,8,3PGA
B17,DAJ_MK_MY,10,1,0,10,3PGA
B18,DAJ_MK_MY,10,2,0,10,3PGA
B19,DAJ_MK_MY,10,3,0,10,3PGA
B20,DAJ_MK_MY,10,1,5,0,3PGA
B21,DAJ_MK_MY,10,2,5,0,3PGA
B22,DAJ_MK_MY,10,3,5,0,3PGA
B23,DAJ_MK_MY,10,1,5,2,3PGA
C2,DAJ_MK_MY,10,2,5,2,3PGA
C3,DAJ_MK_MY,10,3,5,2,3PGA
C4,DAJ_MK_MY,10,1,5,4,3PGA
C5,DAJ_MK_MY,10,2,5,4,3PGA
C6,DAJ_MK_MY,10,3,5,4,3PGA
C7,DAJ_MK_MY,10,1,5,6,3PGA
C8,DAJ_MK_MY,10,2,5,6,3PGA
C9,DAJ_MK_MY,10,3,5,6,3PGA
C10,DAJ_MK_MY,10,1,5,8,3PGA
C11,DAJ_MK_MY,10,2,5,8,3PGA
C12,DAJ_MK_MY,10,3,5,8,3PGA
C13,DAJ_MK_MY,10,1,5,10,3PGA
C14,DAJ_MK_MY,10,2,5,10,3PGA
C15,DAJ_MK_MY,10,3,5,10,3PGA
C16,DAJ_MK_MY,10,1,10,0,3PGA
C17,DAJ_MK_MY,10,2,10,0,3PGA
C18,DAJ_MK_MY,10,3,10,0,3PGA
C19,DAJ_MK_MY,10,1,10,2,3PGA
C20,DAJ_MK_MY,10,2,10,2,3PGA
C21,DAJ_MK_MY,10,3,10,2,3PGA
C22,DAJ_MK_MY,10,1,10,4,3PGA
C23,DAJ_MK_MY,10,2,10,4,3PGA
D2,DAJ_MK_MY,10,3,10,4,3PGA
D3,DAJ_MK_MY,10,1,10,6,3PGA
D4,DAJ_MK_MY,10,2,10,6,3PGA
D5,DAJ_MK_MY,10,3,10,6,3PGA
D6,DAJ_MK_MY,10,1,10,8,3PGA
D7,DAJ_MK_MY,10,2,10,8,3PGA
D8,DAJ_MK_MY,10,3,10,8,3PGA
D9,DAJ_MK_MY,10,1,10,10,3PGA
D10,DAJ_MK_MY,10,2,10,10,3PGA
