Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
F2,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,0,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
F3,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,0,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
F4,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,0,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
F5,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,2,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
F6,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,2,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
F7,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,2,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
F8,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,4,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
F9,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,4,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
F10,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,4,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
F11,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,6,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
F12,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,6,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
F13,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,6,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
F14,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,8,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
F15,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,8,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
F16,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,8,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
F17,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,10,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
F18,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,10,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
F19,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,10,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
F20,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,0,5,1,DAJ_MK_MY,0.33,4.8,0,0,0
F21,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,0,5,2,DAJ_MK_MY,0.33,4.8,0,0,0
F22,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,0,5,3,DAJ_MK_MY,0.33,4.8,0,0,0
F23,3PGA,pTet-F30Pepper-mTurquoise2,1,5,0,2,5,1,DAJ_MK_MY,0.33,4.8,0,0,0
