

Software Version;3.04.17



Experiment File Path:;C:\Users\Biotek1\Box\biocircuits\Manisha\Cell-free_Projects\BioTek Runs\20231211_SaltCalibration_MK_MY_DAJ_Extract_2023\20231211_SaltCalibration_MK_MY_DAJ_Extract_2023.xpt
Protocol File Path:;C:\Users\Biotek1\Box\biocircuits\Manisha\Cell-free_Projects\BioTek Runs\Protocols\20220513_TXTL_WP_ZJ_Titration_of_3PGA_MGapt_deGFP_prt.prt



Plate Number;Plate 1
Date;12/11/2023
Time;2:51:45 PM
Reader Type:;Synergy H1
Reader Serial Number:;268449
Reading Type;Reader

Procedure Details

Plate Type;384 WELL PLATE
Well Selection;Runtime
Eject plate on completion;
Set Temperature;Setpoint 29°C
;Preheat before moving to next step
Start Kinetic;Runtime 18:00:00 (HH:MM:SS), Interval 0:03:00, 361 Reads
    Shake;Linear: 0:05 (MM:SS)
;Frequency: 360 cpm (6 mm)
    Read;deGFP
;Fluorescence Endpoint
;Full Plate
;Filter Set 1
;    Excitation: 485,  Emission: 515
;    Optics: Bottom,  Gain: 61
;Light Source: Xenon Flash,  Lamp Energy: High
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
;Read Height: 7 mm
End Kinetic;

Layout
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
A;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
B;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
C;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
D;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
E;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
F;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
G;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
H;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
I;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
J;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
K;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
L;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
M;;SPL1;SPL2;SPL3;SPL4;SPL5;SPL6;SPL7;SPL8;SPL9;SPL10;SPL11;SPL12;SPL13;SPL14;SPL15;SPL16;SPL17;SPL18;SPL19;SPL20;SPL21;SPL22;;Well ID
N;;SPL23;SPL24;SPL25;SPL26;SPL27;SPL28;SPL29;SPL30;SPL31;SPL32;SPL33;SPL34;SPL35;SPL36;;;;;;;;;;Well ID
O;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
P;;;;;;;;;;;;;;;;;;;;;;;;;Well ID

deGFP:485,515

Time;T° deGFP:485,515;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15
0:00:06;29.1;28;31;18;25;17;18;25;18;16;21;30;23;33;31;27;35;20;23;18;33;41;18;13;21;27;37;35;22;12;34;31;18;30;25;25;19
0:03:06;29.0;38;24;23;30;21;29;26;17;29;29;30;16;23;26;26;27;26;24;26;19;23;19;22;26;32;32;20;28;34;25;26;22;27;28;29;27
0:06:06;29.0;16;23;22;23;25;23;22;20;13;17;22;18;18;21;26;31;24;21;26;21;25;25;28;12;27;22;20;10;20;27;11;25;18;23;23;20
0:09:06;29.0;10;26;15;22;16;19;25;11;18;23;15;17;12;17;5;37;13;16;9;18;29;22;21;21;28;20;20;32;25;14;18;24;25;18;25;19
0:12:06;29.1;28;20;18;17;7;17;20;24;20;18;22;23;14;24;11;21;11;34;23;26;15;9;19;16;23;22;19;25;20;19;26;14;22;19;17;6
0:15:06;29.0;25;25;11;18;15;10;31;28;23;8;22;21;17;13;25;27;14;11;19;25;25;32;20;13;18;16;22;19;18;22;17;10;20;16;29;17
0:18:06;29.0;34;22;16;24;20;18;31;35;25;32;32;5;31;31;27;23;20;25;28;24;23;22;15;18;26;15;24;29;23;9;18;15;20;16;17;13
0:21:06;29.0;22;23;17;22;22;17;29;29;26;30;30;23;31;40;44;36;28;31;34;35;29;28;34;27;34;36;21;23;17;25;14;21;23;16;24;19
0:24:06;29.0;25;30;30;29;31;23;46;45;33;37;29;32;40;56;42;35;43;37;47;46;38;32;37;42;37;36;32;27;32;33;19;29;28;25;24;22
0:27:06;29.0;39;34;46;46;34;32;57;62;53;55;55;39;66;74;57;58;56;47;65;59;52;49;40;46;42;38;43;40;21;25;30;25;27;19;26;18
0:30:06;29.0;53;55;54;58;55;42;82;81;64;73;62;58;92;104;74;69;58;61;92;94;88;65;63;64;69;62;65;54;45;53;45;40;43;31;42;38
0:33:06;29.0;81;80;71;73;71;69;114;117;104;89;86;79;117;126;101;107;91;84;117;117;103;87;86;78;84;81;79;70;59;58;58;51;63;51;49;41
0:36:06;29.0;96;96;96;96;89;85;149;147;135;124;104;93;154;156;143;122;125;124;152;146;129;103;106;120;108;100;111;104;77;82;70;69;76;68;77;54
0:39:06;29.0;111;120;108;112;115;104;183;188;172;153;138;120;179;205;180;162;145;138;186;189;177;137;133;146;135;134;131;114;107;102;98;80;101;85;100;71
0:42:06;29.0;131;155;136;140;127;124;208;213;196;179;153;139;213;240;207;193;174;160;223;236;198;162;162;170;167;160;157;157;122;119;111;95;117;106;127;85
0:45:06;29.0;158;180;165;165;155;139;243;255;224;207;187;174;254;281;251;228;217;190;266;279;234;209;187;203;203;192;187;181;149;147;123;116;123;124;143;116
0:48:06;29.0;183;196;187;201;174;159;287;281;277;247;211;210;292;321;277;264;251;222;303;331;288;224;226;235;228;218;226;206;173;177;148;138;153;148;173;131
0:51:06;29.0;207;225;222;206;203;187;330;326;297;265;247;229;323;358;321;292;276;254;353;365;320;272;259;277;264;261;255;237;201;196;167;155;177;178;191;155
0:54:06;29.0;234;266;248;230;232;211;361;370;341;313;283;256;374;404;353;331;312;281;396;412;370;306;295;315;302;290;293;280;234;222;189;173;207;202;230;181
0:57:06;29.0;262;278;257;254;258;247;398;395;373;339;306;289;398;446;412;376;337;316;444;461;397;341;329;359;332;327;316;311;265;254;209;191;231;226;262;207
1:00:06;29.0;274;316;292;294;284;268;447;444;417;389;342;325;460;502;440;414;389;356;489;505;457;396;357;389;377;366;362;345;302;283;246;213;261;256;296;238
1:03:06;29.0;321;345;335;327;319;293;473;481;443;413;367;354;488;532;477;459;418;392;538;565;511;432;399;428;408;410;408;377;326;316;269;233;299;272;328;261
1:06:06;29.0;346;376;352;356;334;320;518;524;486;471;409;384;533;588;529;492;445;427;581;627;546;478;450;455;439;452;455;422;365;360;298;262;326;315;355;281
1:09:06;29.0;366;399;387;374;357;351;559;563;539;495;440;421;591;630;566;527;499;472;642;685;590;522;489;517;477;488;502;453;403;388;308;299;362;341;404;322
1:12:06;29.0;384;434;415;401;387;366;593;598;575;525;479;448;618;676;607;580;543;476;679;708;657;546;515;559;514;540;530;499;444;425;341;317;384;365;439;363
1:15:06;29.0;438;465;454;444;412;393;634;648;619;563;511;477;666;726;658;621;568;510;743;773;703;616;565;592;564;562;580;537;469;461;373;343;416;407;471;389
1:18:06;29.0;452;494;475;470;453;416;662;667;650;591;547;507;720;760;700;666;606;551;796;842;747;650;607;631;599;595;636;568;509;497;398;361;464;437;523;411
1:21:06;29.0;479;524;504;501;464;448;706;730;697;631;575;536;751;817;737;701;636;600;839;879;798;695;647;667;638;637;673;612;551;514;436;387;484;451;544;444
1:24:06;29.0;524;558;546;527;503;466;743;751;724;674;601;565;785;853;774;742;682;620;885;930;850;726;687;713;694;690;711;660;588;555;459;424;537;487;592;461
1:27:06;29.0;546;593;575;551;524;486;763;802;764;706;630;584;836;882;820;780;714;650;909;988;884;784;725;751;719;724;756;715;627;607;472;451;560;540;621;508
1:30:06;29.0;578;626;621;578;556;511;794;831;806;721;664;611;873;916;877;806;753;683;975;1032;928;817;775;786;756;760;798;741;676;610;511;485;606;550;674;535
1:33:06;29.0;594;641;631;613;588;543;843;853;839;762;709;657;912;971;904;858;807;725;1025;1087;975;888;825;827;803;812;857;784;698;674;519;497;634;585;700;577
1:36:06;29.0;600;675;660;632;614;582;874;897;877;806;732;671;948;1014;948;900;823;761;1069;1132;1055;910;856;868;841;835;900;825;751;700;562;526;663;608;747;615
1:39:06;29.0;647;697;693;669;646;595;896;933;909;831;766;705;989;1074;981;948;876;796;1127;1190;1089;959;920;919;893;879;935;872;780;731;579;549;685;653;781;641
1:42:06;29.0;662;729;711;694;657;615;936;965;947;875;798;740;1029;1106;1019;983;908;837;1177;1236;1130;1021;936;962;910;916;980;903;821;766;622;584;737;689;802;672
1:45:06;29.0;684;758;746;718;669;647;992;1008;986;898;824;758;1073;1145;1057;1018;945;873;1235;1298;1192;1053;981;983;961;972;1015;944;866;817;639;618;764;726;864;705
1:48:06;29.0;709;770;772;743;690;656;1004;1052;1006;940;847;782;1092;1177;1091;1050;993;911;1267;1328;1230;1114;1032;1023;995;989;1081;994;907;838;681;653;805;756;891;740
1:51:06;29.0;726;797;808;771;739;700;1034;1057;1050;963;894;804;1153;1224;1156;1084;1011;925;1339;1392;1309;1147;1063;1064;1043;1059;1109;1039;956;886;712;674;850;779;950;774
1:54:06;29.0;760;836;836;786;768;711;1068;1101;1086;986;919;828;1207;1267;1188;1133;1071;966;1355;1423;1335;1185;1105;1096;1073;1066;1164;1074;991;916;738;673;876;818;971;807
1:57:06;29.0;784;846;855;813;781;723;1107;1122;1125;1022;941;855;1218;1305;1223;1173;1083;995;1395;1474;1390;1215;1157;1153;1116;1090;1207;1098;1018;962;746;703;909;842;1010;840
2:00:06;29.0;806;880;883;830;805;754;1132;1174;1149;1052;976;897;1264;1318;1280;1221;1122;1019;1452;1516;1436;1262;1171;1195;1165;1150;1250;1151;1030;986;783;744;955;887;1044;876
2:03:06;29.0;821;917;905;864;827;784;1145;1196;1175;1082;999;910;1300;1360;1288;1254;1177;1073;1512;1571;1478;1337;1228;1218;1198;1184;1294;1182;1085;1021;807;775;969;913;1084;889
2:06:06;29.0;866;933;923;902;848;806;1180;1217;1198;1125;1027;943;1340;1425;1336;1296;1202;1102;1543;1629;1530;1363;1261;1272;1200;1236;1325;1236;1125;1056;825;799;996;940;1119;939
2:09:06;29.0;889;969;951;913;877;820;1202;1262;1254;1158;1051;964;1374;1424;1357;1344;1251;1137;1593;1658;1583;1387;1300;1311;1256;1252;1379;1278;1175;1083;857;808;1056;984;1161;963
2:12:06;29.1;902;978;987;950;904;841;1251;1275;1283;1181;1087;988;1400;1489;1418;1368;1257;1179;1655;1737;1639;1467;1341;1346;1312;1298;1427;1314;1202;1128;879;844;1100;1008;1205;996
2:15:06;29.0;924;1022;1014;979;924;884;1275;1328;1319;1215;1119;1014;1442;1525;1446;1434;1338;1199;1685;1766;1683;1495;1405;1381;1327;1338;1448;1345;1229;1158;910;854;1100;1034;1231;1038
2:18:06;29.0;932;1028;1039;987;936;879;1295;1344;1344;1256;1132;1053;1471;1566;1475;1429;1366;1248;1710;1827;1736;1526;1422;1424;1372;1367;1505;1381;1272;1187;932;890;1148;1055;1252;1053
2:21:06;29.0;979;1049;1059;995;977;927;1336;1383;1370;1275;1167;1083;1515;1586;1512;1471;1382;1235;1756;1840;1744;1573;1448;1441;1402;1432;1529;1414;1326;1229;959;916;1174;1084;1318;1094
