Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
H2,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
H3,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
H4,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
H5,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
H6,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
H7,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
H8,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
H9,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
H10,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
H11,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
H12,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
H13,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
H14,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
H15,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
